Sheet,Added References,Isotope Sample Type,Sample Prep Notes ,Sr NBS Reported,
CompiledData,"Grimstead, Deanna N. et al. 2015 Another possible source of archaeological maize found in Chaco Canyon, NM: The Tohatchi Flast area, NM, USA Journal of Archaeological Science: Reports 3.(2015) 181-187",,,Values already corrected by 0.000010; std was 0.71024 +/- 0.000013,
CompiledData,"Grimstead et al. 2014 Reduced Population Variance in Strontium Isotope Ratios Informs Domesticated Turkey Use at Chaco Canyon, New Mexico, USA. Journal of Archaeological Method and Theory ",,1M acetic acid,0.710258 +/- 0.000021,
CompiledData,"Grimstead et al. 2019 Refining Potential Source Regions via Combined Maize Niche Modeling and Isotopes: a Case Study from Chaco Canyon, NM. Journal of Archaeological Method and Theory 26:25-51",,1M acetic acid,,
CompiledData,"Guiterman et al. 2020 Convergence of Evidence Supports a Chuska Mountains Origin for the Plaza Tree of Pueblo Bonito, Chaco Canyon. American Antiquity 85(2):331-346",,,0.71026,
CompiledData,"Hall, Stephen. 2010 Early maize pollen from Chaco Canyon, New Mexico, USA. Palynology 34(1):125-137",,,,
CompiledData,"Hamilton et al. 2017 Stable oxygen isotope sourcing of archaeological fauna from Chaco Canyon, New Mexico. American Antiquity ",,0.1M acetic acid,,
CompiledData,"Hard et al. 1996 Mano size, Stable Carbon Isotope Ratios, and Macrobotanical Remains as Multiple Lines of Evidence of Maize Dependence in the American Southwest. Journal of Archaeological Method and Theory 3(3):253-318",,,,
CompiledData,"Jones et al. 2016 Turkeys on the fringe: Variable husbandry in ""marginal"" areas of the prehistoric American Southwest. Journal of Archaeological Science: Reports 10:575-583",,,,
CompiledData,Kemp et al. 2017 Prehistoric mitochondrial DNA of domesticate animals supports a 13th century exodus from the northern US southwest. PLoS ONE 12(7):e0178882.,,,,
CompiledData,"Lambert, Stephen. 2019 Strontium isotope (87Sr/86Sr) data from archaeological sites in Utah, USA. Data in Brief 27:104571",,,NIST: 0.71028,
CompiledData,"Lambert, Stephen. 2019 Identifying strontium baselines and large game animal trade at Fremont sites through strontium isotope (87Sr/86Sr) analysis. Journal of Archaeological Science: Reports 27:101936",,,NIST: 0.71028,
CompiledData,"Lewis, Michael. 2018 Stable Isotope Ecology Baselines and Human Diet Reconstruction: An Example from Basketmaker II Burials at Cedar Mesa, Utah. PhD Thesis.",,,,
CompiledData,Lipe et al. 2016 Cultural and Genetic Contexts for Early Turkey Domestication in the Northern Southwest. American Antiquity 81(1):97-113,,,,
CompiledData,Martin 1999. Virgin Anasazi Diet as Demonstrated through the Analysis of Stable Carbon and Nitrogen Isotopes. Kiva 64(4):495-514,,,,
CompiledData,"Matson and Chisholm. 1991 Basketmaker II Subsistence: Carbon Isotopes and Other Dietary Indicators from Cedar Mesa, Utah. American Antiquity 56(3):444-459",,,,
CompiledData,"McCaffery, Harlan. 2012 Corn Gobblers: A Stable Isotope Analysis of Prehistoric Turkeys from the Middle San Juan Region, Northwest New Mexico MA Thesis",,1M acetic acid,,
CompiledData,McCaffery et al. 2021 Paleodiet of Turkeys (Meleagris gallopavo) in the Early Pueblo Period of the Northern Southwest. Kiva 87(2):129-151,,,,
CompiledData,Monagle et al. 2018 What Makes a Dog? Stable Isotope Analysis and Human-canid Relationships at Arroyo Hondo Pueblo. Open Quaternary 4:1-13,,,,
CompiledData,Price et al. 1994 Residential Mobility in the Prehistoric Southwest United States: A Preliminary Study using Strontium Isotope Analysis. Journal of Archaeological Science 21:315-330,,,0.710273 +/- 0.000011,
CompiledData,"Price et al. 2017 Great House origins and population stability at Pueblo Bonito, Chaco Canyon, New Mexico: the isotopic evidence. Journal of Archaeological Science Reports 11:261-273",,"not reported (possibly in Marden et al. no date, but cannot locate that reference)",not reported,
CompiledData,"Rawlings and Driver. 2010 Paleodiet of domestic turkey, Shields Pueblo (5MT3807), Colorado: isotopic analysis and its implications for care of a household domesticate. Journal of Archaeological Science 37:2433-2441",,,,
CompiledData,"Reynolds et al. 2005 Strontium sourcing of ponderosa pine used in Anasazi great house construction at Chaco Canyon, New Mexico. Journal of Archaeological Science",,,0.710268 +/- 0.00004,
CompiledData,Reynolds et al. 2012 Strontium isotopes and nutrient sourcing in a semi-arid woodland. Geoderma 189-190:574-584,,,0.710268 +/- 0.00004,
CompiledData,"Scarborough et al. 2018 Water uncertainty, ritual predictability and agricultural canals at Chaco Canyon, New Mexico",,Data were normalized with closest NBS 987 std,0.710255,
CompiledData,"Sheets et al. 2021 Sourcing bighorn sheep from the Homol'ovi Settlement Cluster, Northeastern Arizona, through strontium isotope (87Sr/86Sr) analysis. Journal of Archaeological Science: Reports 37:102986",,,not reported,
CompiledData,"Spielmann et al. 1990 Plains-Pueblo Interdependence and Human Diet at Pecos Pueblo, New Mexico. American Antiquity 55(4):745-765.",,,,
CompiledData,"Tulley-Cordova et al. 2021 (in pub) Stable isotopes in precipitation and meteoritic water: Sourcing and tracing the North American monsoon in Arizona, New Mexico, and Utah. Manuscript submitted to Water Resources Research. Raw data from: https://wateriso.utah.edu/waterisotopes/pages/spatial_db/SPATIAL_DB.html ",,,,
CompiledData,Waller 2009 MA Thesis: Stable Isotope Analysis in the Middle San Juan Region: The Tommy Site and Mine Canyon Site,,acetic acid conc not specified,not reported,
CompiledData,"Williams, D.G. et al. 2005 Oxygen isotopes in cellulose identify source water for archaeological maize in the American Southwest. Journal of Archaeological Science. ",,not reported,,
CompiledData,"Waterisotopes Database (2021) http://waterisotopesDB.org. Accessed 11/29/2021. Query: None, spatial view of general CO Plateau area",,,,
