ChacoIsotopeDatabaseID,OriginalSampleID,OtherID,ModernArch?,IsotopeSystem(s),SampleType,TissueTType,TissueName,CollagenApatiteEnamel?,GenusOrder,Species,Group,CommonName,Description,SiteID,SanJuanBasin?,SiteNumber,Provenience,UTM,Easting,Northing,Longitude,Latitude,Elevation,Depth,RadiocarbonLabNumber,DatePeriod,DateBeginning,DateMid,DateEnd,DateRange,CollectionDate,Source,OtherNotes,SamplePrepMethod,SampleWeight,Sr87Sr86_Standard,Sr87Sr86_NonEnamel_Value_Raw,Sr87Sr86_NonEnamel_SD_Raw,Sr87Sr86_NonEnamel_Value_Standardized,Sr87Sr86_Enamel_Value_Raw,Sr87Sr86_Enamel_SD_Raw,Sr87Sr86_Enamel_Value_Standardized,d13C_Collagen_Value_Raw,d13C_Collagen_Value_SeussCorrection,d13C_Collagen_Value_SeussCorrection_VegBaselineCorrection,d13C_Apatite_Value_Raw,d13C_Apatite_Value_SeussCorrection,d13C_Apatite_Value_SeussCorrection_VegBaselineCorrection,d13C_Enamel_Value_Raw,d13C_Enamel_Value_SeussCorrection,d13C_Enamel_Value_SeussCorrection_VegBaselineCorrection,d13C_Enamel_SD,d13C_Vegetation_Value_Raw,d13C_Vegetation_Value_SeussCorrection,d13C_Hair_Value_Raw,d13C_Hair_Value_SeussCorrection,d13C_Hair_Value_SeussCorrection_VegBaselineCorrection,d13C_WtPercentC,d13C_WtPercentN,d18OVPDB_Apatite_Value_Raw,d18OVPBD_Apatite_SD,d18OVPDB_Apatite_Value_PrepCorrection,d18OVPDB_Enamel_Value_Raw,d18OVPDB_Enamel_SD,d18OVPDB_Apatite_Value_PrepCorrection,d18OVSMOW_Water_Value_Raw,d18OVSMOW_Water_SD,d18O_Value_VPDBConverted,d15N_Collagen_Value_Raw,d15N_CNRatio,d15N_AtomicCNRatio,d15N_PercentN,d15N_CollagenYield,d15N_WeightPercentCollagen,dD_Water_Value_Raw,dD_Water_SD,Pb206Pb204_Dentin_Value_Raw,Pb206Pb204_Dentin_SE,Pb207Pb204_Dentin_Value_Raw,Pb207Pb204_Dentin_SE,Pb208Pb204_Dentin_Value_Raw,Pb208Pb204_Dentin_SE,Pb207Pb206_Dentin_Value_Raw,Pb207Pb206_Dentin_SE,Pb208Pb206_Dentin_Value_Raw,Pb208Pb206_Dentin_SE,Pb_Dentin_ng,Pb_Dentin_SampleWeight_g,Pb_Dentin_ppm,Pb206Pb204_Enamel_Value_Raw,Pb206Pb204_Enamel_SE,Pb207Pb204_Enamel_Value_Raw,Pb207Pb204_Enamel_SE,Pb208Pb204_Enamel_Value_Raw,Pb208Pb204_Enamel_SE,Pb207Pb206_Enamel_Value_Raw,Pb207Pb206_Enamel_SE,Pb208Pb206_Enamel_Value_Raw,Pb208Pb206_Enamel_SE,Pb_Enamel_ng,Pb_Enamel_SampleWeight_g,Pb_Enamel_ppm
CID_30,30,,Archaeological,"C, N",Fauna,Bone,scapula,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, scapula",Arroyo Hondo,,LA 12,12-19-1-IV,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-16.8,-16.8,-21.8,-10,-10,-19.7,,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_31,31,,Archaeological,"C, N",Fauna,Bone,humerus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, humerus",Arroyo Hondo,,LA 12,12-23-4-5,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.2,-7.2,-12.2,-1,-1,-10.7,,,,,,,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_32,32,,Archaeological,"C, N",Fauna,Bone,tibiotarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tibiotarsus",Arroyo Hondo,,LA 12,12-18-5-II,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.9,-7.9,-12.9,-2.3,-2.3,-12,,,,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_33,33,,Archaeological,"C, N",Fauna,Bone,tarsometatarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tarsometatarsus",Arroyo Hondo,,LA 12,12-18-15-I,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-9.4,-9.4,-14.4,-3.3,-3.3,-13,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_34,34,,Archaeological,"C, N",Fauna,Bone,carpometacarpus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, carpometacarpus",Arroyo Hondo,,LA 12,12-18-7-IV,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.5,-7.5,-12.5,-1,-1,-10.7,,,,,,,,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_35,35,,Archaeological,"C, N",Fauna,Bone,scapula,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, scapula",Arroyo Hondo,,LA 12,12-18-15-II,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.1,-7.1,-12.1,-2,-2,-11.7,,,,,,,,,,,,,,,,,,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_36,36,,Archaeological,"C, N",Fauna,Bone,tarsometatarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tarsometatarsus",Arroyo Hondo,,LA 12,12-18-8-IV,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-11.8,-11.8,-16.8,-3.1,-3.1,-12.8,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_37,37,,Archaeological,"C, N",Fauna,Bone,carpometacarpus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, carpometacarpus",Arroyo Hondo,,LA 12,12-18-8-IV,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-10.4,-10.4,-15.4,-3.1,-3.1,-12.8,,,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_38,38,,Archaeological,"C, N",Fauna,Bone,humerus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, humerus",Arroyo Hondo,,LA 12,12-18-8-4N-4,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.4,-7.4,-12.4,-1.6,-1.6,-11.3,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_39,39,,Archaeological,"C, N",Fauna,Bone,tibiotarsus,"Collagen, apatite",Meleagris,gallopavo,Bird,Turkey,"Meleagris gallopavo, tibiotarsus",Arroyo Hondo,,LA 12,12-18-15-I,13S,449521,3914395,-105.5557,35.3716,,,,,,,,,,"Conrad et al 2016, Supplementary Data",,,,,,,,,,,-7.3,-7.3,-12.3,-2.5,-2.5,-12.2,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_40,39,PB104,Archaeological,"Sr, O",Fauna,Tooth,"maxilla, M3",Enamel,Odocoileus,,Deer (ruminant),Deer,"Odocoileus sp. Maxilla, M3, adult",Pueblo Bonito,y,,Trench backfill,13S,268068,3990763,-107.5742,36.0338,2278,,,PI-PII,850,988,1125,AD 850-1125,,"Grimstead 2011; Grimstead et al 2014, Table 1; Grimstead et al 2016",,0.1M acetic acid in 2011; 10% of 14M in 2016; 1M in 2014,,0.7102584,,,,0.708921,0.00002,0.708953,,,,,,,,,,,,,,,,,,-5,0.042,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_41,39,PB104-1,Archaeological,O,Fauna,Tooth,"maxilla, M3",Enamel,Odocoileus,,Deer (ruminant),Deer,Sequential sampling of archaeological deer teeth (Odocoileus spp.),Pueblo Bonito,y,,Trench backfill,13,233231,3994724,,,,,,,,,,,,Grimstead 2011; Grimstead et al. 2016,"Note: All sequential samples began at the tooth apex, then moved inferiorly toward the alveoli.",0.1M acetic acid in 2011; 10% of 14M in 2016,,0.7102584,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3,0.063,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_42,39,PB104-2,Archaeological,O,Fauna,Tooth,"maxilla, M3",Enamel,Odocoileus,,Deer (ruminant),Deer,Sequential sampling of archaeological deer teeth (Odocoileus spp.),Pueblo Bonito,y,,Trench backfill,13,233231,3994724,,,,,,,,,,,,Grimstead 2011; Grimstead et al. 2016,"Note: All sequential samples began at the tooth apex, then moved inferiorly toward the alveoli.",0.1M acetic acid in 2011; 10% of 14M in 2016,,0.7102584,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.29,0.079,-3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
