Object ID,Type of Sample,Sample ID,Lab/Museum/FS # if diff than Sample ID,Modern/Arch,Site Name/Area,Site Number,Provenience,Description of Sample,Date,UTM,Easting,Northing,Longitude,Latitude,Elevation,Depth,Mid Depth,Date of Collection,Source/Citation,Notes ,Links to Other Projects/Repositories,Inst disc. (cfs),pH,HCO3 (mM/L),HCO3 (mg/L),NO3-N (mM/L),NO3-N (mg/L),PO4-P (mM/L),PO4-P (mg/L),Ca (mM/L),Ca (mg/L),Mg (mM/L),Mg (mg/L),Na (mM/L),Na (mg/L),K (mM/L),K (mg/L),Cl (mM/L),Cl (mg/L),SO4 (mM/L),SO4 (mg/L),Residue (mg/L),Cond. (dS/m),HCO3 (% of mM/L),HCO3 (% of mg/L),Cond.@FC (dS/m),TIC (%C),TOC (%C),NO3-N (mg/kg),TON (%)
11,Soils,PB08-2,,Modern,Penasco Blanco,,,Floodpalin soil sample,,13S,231191,3996043,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.29,,,,,,,,,,,,,,,,,,,,6.23,,,31.17,0,0.62,29.3,0.046
12,Soils,PB08-2,,Modern,Penasco Blanco,,,Floodpalin soil sample,,13S,231191,3996043,,,,100 to 106,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.05,,,,,,,,,,,,,,,,,,,,4.26,,,21.28,0,0.59,15.1,0.027
13,Soils,CC08-1,,Modern,Casa Chiquita,,,Floodpalin soil sample,,13S,231454,3995909,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.9,,,,,,,,,,,,,,,,,,,,0.96,,,4.82,0.156,0.64,4.68,0.047
14,Soils,CC08-1,,Modern,Casa Chiquita,,,Floodpalin soil sample,,13S,231454,3995909,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.78,,,,,,,,,,,,,,,,,,,,1.78,,,8.91,0.177,0.5,2.71,0.041
15,Soils,CC08-1,,Modern,Casa Chiquita,,,Floodpalin soil sample,,13S,231454,3995909,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.12,,,,,,,,,,,,,,,,,,,,3.89,,,19.43,0,0.49,3.68,0.037
16,Soils,FB08-1,,Modern,Fajada Butte,,,Floodpalin soil sample,,13S,237470,3990851,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.47,,,,,,,,,,,,,,,,,,,,0.17,,,0.84,0.078,0.13,2.33,0.012
17,Soils,FB08-1,,Modern,Fajada Butte,,,Floodpalin soil sample,,13S,237470,3990851,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.99,,,,,,,,,,,,,,,,,,,,0.31,,,1.53,0.083,0.34,1.08,0.019
18,Soils,FB08-1,,Modern,Fajada Butte,,,Floodpalin soil sample,,13S,237470,3990851,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.43,,,,,,,,,,,,,,,,,,,,0.68,,,3.38,0.105,0.49,0.85,0.036
19,Soils,FB08-1,,Modern,Fajada Butte,,,Floodpalin soil sample,,13S,237470,3990851,,,,100 to 106 ,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.97,,,,,,,,,,,,,,,,,,,,1.54,,,7.68,0.05,0.37,0.94,0.035
20,Soils,FB08-2,,Modern,Fajada Butte,,,Floodpalin soil sample,,13S,237235,3990990,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.41,,,,,,,,,,,,,,,,,,,,1.01,,,5.06,0.117,0.46,6.59,0.048
21,Soils,FB08-2,,Modern,Fajada Butte,,,Floodpalin soil sample,,13S,237235,3990990,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.92,,,,,,,,,,,,,,,,,,,,2.54,,,12.69,0.076,0.48,7.24,0.047
22,Soils,LH08-1,,Modern,Lizard House,,,Floodpalin soil sample,,13S,234490,3994323,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.79,,,,,,,,,,,,,,,,,,,,0.3,,,1.52,0.272,0.53,1.83,0.044
23,Soils,LH08-1,,Modern,Lizard House,,,Floodpalin soil sample,,13S,234490,3994323,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.26,,,,,,,,,,,,,,,,,,,,0.33,,,1.63,0.391,0.47,6.21,0.042
24,Soils,LH08-1,,Modern,Lizard House,,,Floodpalin soil sample,,13S,234490,3994323,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.09,,,,,,,,,,,,,,,,,,,,0.31,,,1.53,0.217,0.51,2.46,0.037
25,Soils,LH08-1,,Modern,Lizard House,,,Floodpalin soil sample,,13S,234490,3994323,,,,100 to 106 ,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.81,,,,,,,,,,,,,,,,,,,,0.73,,,3.65,0.225,0.55,4.21,0.055
26,Soils,WR08-1,,Modern,Weritos Rincon,,,Floodpalin soil sample,,13S,235012,3993138,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.75,,,,,,,,,,,,,,,,,,,,0.29,,,1.96,0.116,0.26,2.55,0.02
27,Soils,WR08-1,,Modern,Weritos Rincon,,,Floodpalin soil sample,,13S,235012,3993138,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.5,,,,,,,,,,,,,,,,,,,,0.33,,,2.22,0.086,0.37,2.01,0.025
28,Soils,WR08-1,,Modern,Weritos Rincon,,,Floodpalin soil sample,,13S,235012,3993138,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.94,,,,,,,,,,,,,,,,,,,,0.38,,,2.55,0.047,0.4,0.92,0.032
29,Soils,WR08-1,,Modern,Weritos Rincon,,,Floodpalin soil sample,,13S,235012,3993138,,,,100 to 106 ,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.64,,,,,,,,,,,,,,,,,,,,0.54,,,3.58,0.104,0.52,1,0.036
30,Soils,WR08-2,,Modern,Weritos Rincon,,,Floodpalin soil sample,,13S,235120,3993228,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.71,,,,,,,,,,,,,,,,,,,,0.44,,,2.91,0.075,0.29,5.01,0.027
31,Soils,WR08-2,,Modern,Weritos Rincon,,,Floodpalin soil sample,,13S,235120,3993228,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.38,,,,,,,,,,,,,,,,,,,,0.46,,,3.06,0.483,0,8.83,0.024
32,Soils,WR08-2,,Modern,Weritos Rincon,,,Floodpalin soil sample,,13S,235120,3993228,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.35,,,,,,,,,,,,,,,,,,,,0.31,,,2.04,0.105,0.2,2.53,0.016
33,Soils,WR08-2,,Modern,Weritos Rincon,,,Floodpalin soil sample,,13S,235120,3993228,,,,100 to 106 ,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.54,,,,,,,,,,,,,,,,,,,,0.46,,,3.1,0.11,0.2,1.48,0.011
34,Soils,KK08-3,,Modern,Kin Klizhin,,,Floodpalin soil sample,,12S,764242,3991624,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.59,,,,,,,,,,,,,,,,,,,,0.83,,,4.13,0.104,0.45,55.5,0.046
35,Soils,KK08-3,,Modern,Kin Klizhin,,,Floodpalin soil sample,,12S,764242,3991624,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.61,,,,,,,,,,,,,,,,,,,,2.18,,,10.88,0.147,0.53,161,0.051
36,Soils,CDR08-1,,Modern,Casa del Rio,,,Floodpalin soil sample,,12S,763065,3997485,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.28,,,,,,,,,,,,,,,,,,,,0.27,,,1.34,0.054,0.15,1.44,0.012
37,Soils,CDR08-1,,Modern,Casa del Rio,,,Floodpalin soil sample,,12S,763065,3997485,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.33,,,,,,,,,,,,,,,,,,,,0.22,,,1.1,0.049,0.07,0.55,0.005
38,Soils,CDR08-1,,Modern,Casa del Rio,,,Floodpalin soil sample,,12S,763065,3997485,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.87,,,,,,,,,,,,,,,,,,,,0.49,,,2.44,0.061,0.05,0.56,0.006
39,Soils,CDR08-2,,Modern,Casa del Rio,,,Floodpalin soil sample,,12S,763296,3997816,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.86,,,,,,,,,,,,,,,,,,,,0.18,,,0.88,0.038,0.06,2.84,0.006
40,Soils,CDR08-2,,Modern,Casa del Rio,,,Floodpalin soil sample,,12S,763296,3997816,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.8,,,,,,,,,,,,,,,,,,,,0.15,,,0.75,0.03,0.04,1.95,0.004
41,Soils,CDR08-2,,Modern,Casa del Rio,,,Floodpalin soil sample,,12S,763296,3997816,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.55,,,,,,,,,,,,,,,,,,,,0.13,,,0.66,0.061,0.03,0.63,0.004
42,Soils,CDR08-3,,Modern,Casa del Rio,,,Floodpalin soil sample,,12S,763367,3998141,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.15,,,,,,,,,,,,,,,,,,,,0.35,,,1.73,0.068,0.47,5.84,0.03
43,Soils,CDR08-3,,Modern,Casa del Rio,,,Floodpalin soil sample,,12S,763367,3998141,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.05,,,,,,,,,,,,,,,,,,,,0.32,,,1.6,0.038,0.48,1.3,0.027
44,Soils,CDR08-3,,Modern,Casa del Rio,,,Floodpalin soil sample,,12S,763367,3998141,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.99,,,,,,,,,,,,,,,,,,,,0.77,,,3.85,0.079,1.14,6.31,0.059
45,Soils,CDR08-4,,Modern,Casa del Rio,,,Floodpalin soil sample,,12S,763091,3997770,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.75,,,,,,,,,,,,,,,,,,,,0.01,,,0.06,0.014,0.07,0.5,0.005
46,Soils,CDR08-4,,Modern,Casa del Rio,,,Floodpalin soil sample,,12S,763091,3997770,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.84,,,,,,,,,,,,,,,,,,,,0.1,,,0.51,0.086,0.02,0.48,0.007
47,Soils,CDR08-4,,Modern,Casa del Rio,,,Floodpalin soil sample,,12S,763091,3997770,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,9.16,,,,,,,,,,,,,,,,,,,,0.16,,,0.81,0.033,0.01,0.37,0.002
48,Soils,GB08-1,,Modern,Great Bend,,,Floodpalin soil sample,,12S,724932,4006002,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.99,,,,,,,,,,,,,,,,,,,,6.14,,,30.71,0.073,1.47,664,0.06
49,Soils,GB08-1,,Modern,Great Bend,,,Floodpalin soil sample,,12S,724932,4006002,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.77,,,,,,,,,,,,,,,,,,,,6.83,,,29.14,0.041,1.51,488,0.069
50,Soils,GB08-1,,Modern,Great Bend,,,Floodpalin soil sample,,12S,724932,4006002,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.05,,,,,,,,,,,,,,,,,,,,4.38,,,21.92,0.052,1.73,239,0.08
51,Soils,GB08-2,,Modern,Great Bend,,,Floodpalin soil sample,,12S,725452,4005509,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.28,,,,,,,,,,,,,,,,,,,,1.55,,,7.74,0.07,1.48,39,0.068
52,Soils,GB08-2,,Modern,Great Bend,,,Floodpalin soil sample,,12S,725452,4005509,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.59,,,,,,,,,,,,,,,,,,,,5.72,,,28.58,0.026,2.82,250,0.103
53,Soils,GB08-2,,Modern,Great Bend,,,Floodpalin soil sample,,12S,725452,4005509,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.79,,,,,,,,,,,,,,,,,,,,3.58,,,17.91,0.085,1.81,168,0.076
54,Soils,GB08-3,,Modern,Great Bend,,,Floodpalin soil sample,,12S,726350,4005066,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.69,,,,,,,,,,,,,,,,,,,,13.67,,,68.36,0.115,0.64,5.48,0.061
55,Soils,GB08-3,,Modern,Great Bend,,,Floodpalin soil sample,,12S,726350,4005066,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.67,,,,,,,,,,,,,,,,,,,,16.24,,,81.22,0.079,0.52,4.18,0.054
56,Soils,GB08-3,,Modern,Great Bend,,,Floodpalin soil sample,,12S,726350,4005066,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.67,,,,,,,,,,,,,,,,,,,,16.56,,,82.79,0.044,0.48,5.06,0.044
57,Soils,WC08-1,,Modern,Willow Creek,,,Floodpalin soil sample,,12S,729968,4005484,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.01,,,,,,,,,,,,,,,,,,,,2.81,,,14.07,0.061,1.05,108,0.072
58,Soils,WC08-1,,Modern,Willow Creek,,,Floodpalin soil sample,,12S,729968,4005484,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.81,,,,,,,,,,,,,,,,,,,,2.51,,,12.55,0.077,1.06,244,0.068
59,Soils,WC08-1,,Modern,Willow Creek,,,Floodpalin soil sample,,12S,729968,4005484,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.33,,,,,,,,,,,,,,,,,,,,2.19,,,10.97,0.117,1.75,100,0.079
60,Soils,WC08-2,,Modern,Willow Creek,,,Floodpalin soil sample,,12S,731080,4004740,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.1,,,,,,,,,,,,,,,,,,,,0.92,,,4.6,0.064,0.99,4.54,0.059
61,Soils,WC08-2,,Modern,Willow Creek,,,Floodpalin soil sample,,12S,731080,4004740,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.12,,,,,,,,,,,,,,,,,,,,1.27,,,6.33,0.137,1.04,20.7,0.059
62,Soils,WC08-2,,Modern,Willow Creek,,,Floodpalin soil sample,,12S,731080,4004740,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.87,,,,,,,,,,,,,,,,,,,,3.22,,,16.1,0.078,1.34,29,0.088
63,Soils,WC08-3,,Modern,Willow Creek,,,Floodpalin soil sample,,12S,731911,4003966,,,,10 to 16,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.12,,,,,,,,,,,,,,,,,,,,0.55,,,2.74,0.128,1.78,90,0.08
64,Soils,WC08-3,,Modern,Willow Creek,,,Floodpalin soil sample,,12S,731911,4003966,,,,40 to 46,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.32,,,,,,,,,,,,,,,,,,,,3.48,,,17.39,0.093,1.15,252,0.061
65,Soils,WC08-3,,Modern,Willow Creek,,,Floodplain soil sample,,12S,731911,4003966,,,,70 to 76,,,"Benson 2016, Table 2, Pg.461","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.97,,,,,,,,,,,,,,,,,,,,4.14,,,20.72,0.095,1.54,145,0.065
66,Soils,SG08-1,,Modern,South Gap,,,Side valley soil sample,,13S,232270,3993416,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.01,,,,,,,,,,,,,,,,,,,,0.398,,,1.99,0.033,0.59,3.21,0.067
67,Soils,SG08-1,,Modern,South Gap,,,Side valley soil sample,,13S,232270,3993416,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.41,,,,,,,,,,,,,,,,,,,,0.361,,,1.81,0.057,0.45,2.77,0.057
68,Soils,SG08-1,,Modern,South Gap,,,Side valley soil sample,,13S,232270,3993416,,,,70 to 76,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.45,,,,,,,,,,,,,,,,,,,,0.372,,,1.86,0.037,0.44,1.53,0.061
69,Soils,SG08-1,,Modern,South Gap,,,Side valley soil sample,,13S,232270,3993416,,,,100 to 106 ,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.37,,,,,,,,,,,,,,,,,,,,0.385,,,1.92,0.03,0.64,0.49,0.097
70,Soils,SG08-2,,Modern,South Gap,,,Side valley soil sample,,13S,232419,3993708,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.54,,,,,,,,,,,,,,,,,,,,0.622,,,3.11,0.012,0.84,9.04,0.15
71,Soils,SG08-2,,Modern,South Gap,,,Side valley soil sample,,13S,232419,3993708,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.85,,,,,,,,,,,,,,,,,,,,0.433,,,2.16,0.059,0.68,0.92,0.12
72,Soils,SG08-2,,Modern,South Gap,,,Side valley soil sample,,13S,232419,3993708,,,,70 to 76,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.09,,,,,,,,,,,,,,,,,,,,0.564,,,2.82,0.03,0.75,0.93,0.124
73,Soils,SG08-2,,Modern,South Gap,,,Side valley soil sample,,13S,232419,3993708,,,,100 to 106 ,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.2,,,,,,,,,,,,,,,,,,,,0.557,,,2.78,0.038,0.46,3.66,0.14
74,Soils,SG08-3,,Modern,South Gap,,,Side valley soil sample,,13S,232633,3994201,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.4,,,,,,,,,,,,,,,,,,,,1.933,,,9.67,0.028,1.59,150,0.109
75,Soils,SG08-3,,Modern,South Gap,,,Side valley soil sample,,13S,232633,3994201,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.19,,,,,,,,,,,,,,,,,,,,1.521,,,7.6,0.089,2.47,79.4,0.114
76,Soils,SG08-3,,Modern,South Gap,,,Side valley soil sample,,13S,232633,3994201,,,,70 to 76,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.49,,,,,,,,,,,,,,,,,,,,0.886,,,4.43,0.108,1.48,26.8,0.11
77,Soils,SG08-3,,Modern,South Gap,,,Side valley soil sample,,13S,232633,3994201,,,,100 to 106 ,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,7.6,,,,,,,,,,,,,,,,,,,,0.612,,,3.06,0.043,0.76,21.6,0.257
78,Soils,MB08-1,,Modern,Mockingbird Canyon,,,Side valley soil sample,,13S,236558,3993668,,,,10 to 16,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.08,,,,,,,,,,,,,,,,,,,,0.701,,,3.51,0.274,0.41,20.6,0.041
79,Soils,MB08-1,,Modern,Mockingbird Canyon,,,Side valley soil sample,,13S,236558,3993668,,,,40 to 46,,,"Benson 2016, Table 3, Pg.462","Cond@FC calculated with FC of sandy loam (20%), except Weritos Rincon silt (15%)",,,8.65,,,,,,,,,,,,,,,,,,,,0.881,,,4.4,0.379,0.67,27.4,0.07
