KeyID,Element,Specimen no.,Class,Taxon,Bone apatite sample?,Well #,Weight (mg),Enamel sample?,Well #,Weight,Collagen sample ID#,Collagen sample? ,%N.Collagen,%C.Collagen,C:N.Collagen,d15N.Collagen,d13C.Collagen,d13C.Bone,d18O.Bone,d13C.Enamel,d18O.Enamel,Linked ID nos,FS No.,Northing,Easting,Provenience notes,Portion,Side,Age,Weathering score,Condition notes,Specimen notes,C:N.Collagen,d15N.Collagen,d13C.Collagen,d13C.Bone,d18O.Bone,d13C.Enamel,d18O.Enamel
12A,Cranium ,12,Mammalia,Capra hircus,Crania,,,,,,CC12,Cranial bone,13.8,42.7,3.1,8.4,-16.3,,,,,Chaco Culture NHP,,3993247,231644,"13 S (WGS 84), Elev.= 1910 m, Surface (2013)","Most of Maxilla is intact, premaxilla is missing with nasal bone. Right frontal bone is intact with horn and orbital socket, most of left frontal bone is not present near the horn and most of left orbit socket. Both zygomatic arches are present with temporal, parietal, and occipital bone.",n/a,"sub-adult, juvenile",3,"a lot of cracking and flaking, teeth cracking/breaking","All teeth present are erupted, very broken so wear is harder to tell, many sutures still very visible, but fused. The frontal suture is not as fused as the others.",2.8,7.1,-19.9,,,-12.7,-5
12B,Teeth,12,Mammalia,Capra hircus,,,,Molar ,3,6.7,,,,,,,,,,-10.8,-5.5,Chaco Culture NHP,,3993247,231644,"13 S (WGS 84), Elev.= 1910 m, Surface (2013)",Loose teeth collected with the cranium,n/a,"sub-adult, juvenile",,"some teeth have cracks, most are small pieces","Multiple loose teeth collected with the cranium, seem from same specimen",2.8,5.9,-19.7,-10.5,-6.4,,
13,Mandible ,13,Mammalia,Canis familiaris,Mandible,58,11.4,Molar,4,6.8,CC13,Mandibular bone,15,42.3,2.8,7.3,-14.6,-11.5,-10.1,-7.6,-10.3,Chaco Culture NHP,,3994948,234181,"13 S (WGS 84), Elev.= 1886 m, Surface (2013) ",Fully intact,Both,sub-adult to adult,1 to 2,"cracking is visible and some flaking, as well as tissue reminisce still attached and flaking off. ","Fully intact specimen, some gnawing marks visible on remainder of tissue left. Due to the curvature in the teeth formation, the overall shape of the mandible, and the mandibular condyles, this is a farmiliarious.",2.8,4.7,-19.8,-11.5,-5.7,-11.3,-0.9
14,entire specimen,14,Mammalia,Dipodomys ordii,MISSING?,MISSING?,MISSING?,MISSING?,MISSING?,MISSING?,MISSING?,,,,,,,,,,,Chaco Culture NHP,,3989577,242769,"13 S (WGS 84), Elev.= 1950 m, Surface (2013)","Intact specimen, with fur still attached.",n/a,sub-adult to adult,0,"specimen is dried out, with skin and bones still attached, but has been gnawed and ""belly"" eaten. ","specimen is whole and intact, except for a loss of axis organs",2.8,6.7,-19.8,-14.3,-4.1,-11.4,-6.1
15,Mandible ,15,Mammalia,Cervus elaphus,Mandible,53,11.5,M2 Molar,19,4.2,CC15,Mandibular bone,15.5,43.2,2.8,8.5,-19.9,-15.2,-5.2,-10.6,-7.2,Chaco Culture NHP,,"N- 36 degrees 03' 40.32""","W- 107 degrees 58' 42.24""","South side of Canyon, West of South Gap, Talls Slope, Surface (2014) UNM","Mental symphysis is not present, mental foramena present along with most of the body of the mandible, teeth are most intact, only small portion of ramus is present, small section of ascending ramus.",left,adult,2,"cracking and flaking is very visible, hole in bone proximal to third molar ","all teeth are fairly intact, and all are erupted. Very prominent mental foramina, only hint at age for this specimen, very weathered and broken overall. ",2.8,7.2,-14.9,,,-6.4,-7.9
16,Cranium ,16,Mammalia,Cervus elaphus,Crania,,,Premolar,37,4.5,CC16,Cranial bone,14.1,39.8,2.8,7.1,-19.9,,,-12.7,-5.0,Chaco Canyon Site Condition Assessment NHP,,3994242.1,234049.27,"Chaco Wash (7/8/14) ""Deer Skull"" Elev.= 1,847.59","No premaxilla present, the maxilla and nasal bones are intact, the frontal bone is still intact, the occipital, parietal, and temporal bone has broken off and exposed the brain case, only tops of orbit sockets remain. ",n/a,,3 to 4,cracking and flaking very present ,"All teeth that are still attached are erupted (5 are not attached but located in bag and refit into maxilla) , teeth are very worn down, lots of wear. Hard to distinguish whether it is a younger specimen without fully fused sutures, or if weathering has altered- age is hard to tell.",2.8,6.3,-19,-13.7,-3.2,-12.8,0
17,Cranium ,17,Mammalia,Cervus elaphus,Crania,41,7.3,None available,,,CC17,Cranial bone,15.6,43.6,2.8,5.9,-19.7,-10.5,-6.4,,,Chaco Culture NHP,,3994131,234524,"13 S (WGS 84), Elev.= 1878 m, Surface (2014) ","Frontal bone and brain case are present, everything else is not. ",n/a,sub-adult to adult ,4,extremely weathered- cracking and flaking have stripped the bone of some of its morphological features. ,"because of the missing bone and weathering, age is difficult to figure out, however in multiple spots there is lightly fused bone, that along with the overall size of the cranium suggests a female or younger specimen.",2.7,9.4,-13.8,-9.3,-3.1,-10,-0.6
18,Cranium ,18,Mammalia,Cervus elaphus,Crania,7,7.5,M3 Molar,12,9.1,CC18,Cranial bone,15.3,42.8,2.8,4.7,-19.8,-11.5,-5.7,-11.3,-0.9,Chaco Culture NHP,,3994260,231741,"13 S (WGS 84). Elev.= 1954 m, Surface- West Mesa (2013)","Premaxilla is not present, most of maxilla is present, nasal bones are present (left has fallen off), both orbit sockets are present and mostly intact, frontal, parietal, temporal, and occipital bones are present. Only (M3) and (M2) are present on both right and left maxilla. Major and Minor palatine foramen missing, maxilla suture is present.",n/a,sub-adult to adult ,3,"cracking and flaking are present, most teeth have fallen out and specimen is breaking when touched slightly.","even though it is cracked and flaking, the sutures are not fused together, but the cranium is large, so this is probably a sub-adult. All the teeth present (M3) and (M2) are ruptured, also indicate possible sub-adult.",2.8,5.8,-18.8,-12.4,-0.1,-12.1,-3.1
19,Mandible,19,Mammalia,Cervus elaphus,Mandible,72,1.1,M3 Molar,24,6.3,CC19,Mandibular bone,15.2,42.2,2.8,6.7,-19.8,-14.3,-4.1,-11.4,-6.1,Chaco Culture NHP,,3996252.1,232496,"13 S (WGS 84) Elev.= 1900 m, Surface- West side, Clys Canyon (2013)","Mental Symphysis is not present, has been broken off, mental foramena is also not present, the rest of the body of the mandible is present, along with most of the ramus, all teeth are present. ",left,sub-adult to adult ,1,"some cracking is present along the horizontal ramus, some tissue still remains around the teeth and gnawing marks on the mandibular condyle, coronoid process of the mandible, and the angle of the ramus.","various holes- one large cut/hole starting at the 1st molar and extending outward across the body, hole near the angle of the ramus, gnawing on the mandibular condyle. teeth are all erupted and exposed, very worn down, at least sub-adult to adult.",2.8,11.7,-16.4,-4.7,-2.4,-4,-4.4
20,Mandible ,20,Mammalia,Cervus elaphus,Mandible,,,M3 Molar,29,7.2,CC20,Mandibular bone,14.8,41.2,2.8,7.2,-14.9,,,-6.4,-7.9,Chaco Culture NHP,,3993804,231535,"13 S (WGS 84), Elev.= 1976 m, UNM Site Condition Assessment (2013), West Mesa, Surface (Not archaeological) ","piece of body is present from (M1) (M2) and (M3), the ascending ramus is present, missing the angle, mandibular condyle and the coronoid process. (loose tooth in bag connected to section of mandibular body)",right,sub-adult to adult ,4,"very weathered, a lot of cracking and flaking, makes it difficult to tell age","(M3) (M2) and some of (M1) still visible and attached, roots are showing/parts of tooth roots have been broken off, due to the eruption of the teeth and the shape of the teeth, it could possibly be from a sub-adult to adult age range.",2.8,4.5,-11.4,-5.2,-3.4,-3.5,-0.2
21,Mandible (w/deciduous teeth),21,Mammalia, Cervus elaphus,Mandible,31,8.7,DP1 Molar,51,14.9,CC21,Mandibular bone,16.3,45.4,2.8,6.3,-19,-13.7,-3.2,-12.8,0.0,Chaco Culture NHP,,3994712,232214,"13 S Elev.= 1885 m, Surface (2013)","The ramus is intact, most of the body of the mandible is intact, hole near (M3). Most teeth present are intact, missing mental foramena and mental symphysis. ",Left,neonate,0,"possible cracking, no flaking. Two impact spots, but not much weathering","The body is broken off at (P4), but can see some of (M1) is still present, (M2) is intact and present, and (M3) is intact and has not erupted yet. Due to the lack of rupturing and the small size, this seems from a very young juvenile. ",,,,-6.9,-3.7,-6.4860962,0.6380524
22,Maxilla palatine with teeth,22,Mammalia,Vulpes vulpes,Maxilla,25,9,Molar,15,8,CC22,Maxillary bone,16.4,43.9,2.7,9.4,-13.8,-9.3,-3.1,-10,-0.6,Chaco Culture NHP,,3994623,232308,"S 13 (WGS 84) Elev.= 1887 m, Surface (2013)","left teeth are intact from (I 1,2,3) (C) (P1) (P2) (P3) (P4) (M1) (M2), right teeth (C) and (P1)",n/a,sub-adult to adult,1,"some cracks along the interior of the palatine bone, tissue still attached to teeth.","due to the eruption of the teeth present (and not present but have visible signs of rupture) and the wear of the teeth, I think this is an adult, at least a later sub-adult.",2.8,5.5,-18,-12.6,-5.4,-11.5,0.8
23,Mandible,23,Mammalia,Sylvilagus sp.,Mandible,32,10.2,Molar M1,21,10.7,CC23,Mandibular bone,15.3,42.7,2.8,5.8,-18.8,-12.4,-0.1,-12.1,-3.1,Chaco Culture NHP,,3995173.469,238164.097,Surface (2013) UNM,"The body is intact including peice of incisor, ramus is not present. ",left,Adult,1,"some cracking present, but no visible flaking. ","teeth have all erupted and are mostly intact and very distinctive morphology (bone growth), probably an adult",2.8,5.6,-10,-3.3,-3.7,-4.5,0.5
24,Mandible,24,Mammalia,Sylvilagus sp.,Mandible,36,9.7,M1 Molar,54,13.9,CC24,Mandibular bone,15.5,43.9,2.8,11.7,-16.4,-4.7,-2.4,-4,-4.4,Chaco Culture NHP,,3988463,233383,13 S (WGS 84) Elev.= 1945 (2014) ,"The body is intact, piece of incisor present, the start of the ascending ramus is present but the rest of the ramus is missing, (P3) (P4) (M1) (M2) are present and erupted, (M3) is present but not erupted.",right,"sub-adult, juvenile",1,"cracking is present, but no flaking ","All teeth are present/intact, all but (M3) are erupted, missing most of incisor, due to size of specimen and the teeth, either a juvenile or sub-adult.",2.7,5.8,-9.9,-5.3,-3.5,-4.9,0
25,Mandible,25,Mammalia,Cynomys sp.,Mandible,68,4.1,Incisor ,35,10.3,CC25,Mandibular bone,15.6,43.5,2.8,4.5,-11.4,-5.2,-3.4,-3.5,-0.2,Chaco Culture NHP,,3995348.042,239268,Elev.= 1890 m (2014) ,"Incisor and body intact, portion of the ascending ramus is intact with most of the mandibular condyle. Angle and the mandibular fossa are missing. ",right,Sub-adult to adult,1,"some cracking present, no flaking","All teeth are intact/present /erupted, teeth have some wear, sub-adult to adult age range.",2.8,12.6,-17.7,-10.8,-0.2,-10.3,2.7
26,Mandible and portion of right maxilla *Enamel samples avg,26,Mammalia,Sylvilagus sp.,,,,Molars,30,9.2,CC26,Mandibular bone,,,,,,-6.9,-3.7,-6.4860962,0.6380524,Chaco Culture NHP,,3995642.396,239185.771,(5/24/14),Mandible and Maxilla,,,,,,2.8,3.9,-16.9,-12.2,-2.2,-10.2,-6
26A,Mandible ,26,Mammalia,Sylvilagus sp.,Mandible,67,14.9,,57,11.6,,,,,,,,,,,,Chaco Culture NHP,,3995642.396,239185.771,(5/24/14),"Body is intact with pieces of incisors, and beginning of ramus intact, the angle and mandibular condyle is not. all teeth are present, all are intact except (P4).",Left  , Adult,3,"major cracking and flaking, very brittle. ","All teeth are present and erupted, piece of incisor present, and due to large size, most likely an adult or a male.",2.7,4.9,-17.6,-11.3,-1.3,,
26B,Portion of Maxilla,26,Mammalia,Sylvilagus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3995642.396,239185.771,(5/24/14),"Small section of maxilla near (P3) (P4) and (M1), no teeth are present except for pieces of (P3), and the start of the zygomatic arch",Right,Adult,3,"major cracking and flaking, very brittle. ","No teeth are present except for small pieces of (P3), also Sylvilagus due to the lack of foramena in the lacrimal, near the start of the zygomatic arch.",2.9,2.9,-17.5,-9.1,-1.6,-9.2,4.8
27,Mandible ,27,Mammalia,Sylvilagus sp.,Mandible,79,3.7,Molar,16,7.4,CC27,Mandibular bone,13.7,38.6,2.8,5.5,-18,-12.6,-5.4,-11.5,0.8,Chaco Culture NHP,,3993201,240505,"13 S (WGS 84) Elev.= 1950 m, Surface (2013) ","Body is present with small portion of ascending ramus still intact. all teeth, including incisor, are present, except for (M3). ",left,Sub-adult to adult,3,"cracking and flaking present, teeth are loose","All teeth are erupted, that are present. (M3) is not present, hard to tell age and specimen is very weathered. ",,,,-5.7,-2,-6.3,0.6
28,Mandible,28,Mammalia,Cynomys sp.,Mandible,40,4.3,Molar,52,11,CC28,Mandibular bone,15.5,43.1,2.8,5.6,-10,-3.3,-3.7,-4.5,0.5,Chaco Culture NHP,,3995393,238351,"13 S Elev.= 1950 m, Surface (North Mesa) (2014)","entire mandible is intact, including portion of the incisors, and all the teeth. ",left,adult,2,"very cracked, but only some flaking is present.","very intact, all teeth and present and erupted. Very distinctive bone growth, indicates most likely an adult. ",2.7,6.7,-16.6,-9.2,-3.7,-7.4,-2.7
29,Cranium,29,Mammalia,Cynomys sp.,Crania,22,9.2,Molar,33,4.3,CC29,Cranial bone,15.7,42.3,2.7,5.8,-9.9,-5.3,-3.5,-4.9,0.0,Chaco Culture NHP,,3988720,241876,"13 S (WGS 84) Elev.= 2015 m, Surface (2014) ","Premaxilla and nasal bones are missing, frontal, temporal, parietal, and occipital bones are present. Section of zygomatic arch is missing. ",n/a,Sub-adult to adult,2 to 3,cracks present and flaking on the frontal bone,"(M2) (M1) (P4) present and erupted on left side, (M3) (M1) (P4) are present and erupted on right side of maxilla. Cranial bones are still fusing, so sub-adult, but all teeth present have erupted.",2.8,13.8,-16.8,-9.8,-2.5,-11.1,-1.4
30,Mandible,30,Mammalia,Sylvilagus sp.,Mandible,27,7.8,Molar,50,11.5,CC30,Mandibular bone,12,33.3,2.8,12.6,-17.7,-10.8,-0.2,-10.3,2.7,Chaco Culture NHP,,,,Chaco Wash (50 m South of Bryan's #4) Surface (2013) UNM,"portion of incisor present and body, almost all teeth are intact, but all are present (M3) either not erupted  or missing.",right,"Sub-adult, adult",1,"severe cracking present, no flaking that I can see","all teeth are present, (M3) is present but either broken off or not fully erupted.",2.9,5,-20.3,-10.1,-7.3,-5.1,-6.9
31,Maxilla,31,Mammalia,Sylvilagus sp.,Maxilla,46,12,Molar M1,49,11,CC31,Maxillary bone,15.6,43.6,2.8,3.9,-16.9,-12.2,-2.2,-10.2,-6.0,Chaco Culture NHP,,3995173.469,238164.097,(5/24/14),Maxilla is present with sections of right and left zygomatic arches,n/a,Sub-adult,2,cracking and flaking are present,"All teeth are present except (M3) on both sides, sutures are not fully fused but teeth seem erupted, so sub-adult ",2.8,8.3,-14.2,-5.3,-5.9,-5.4,-0.2
32,Cranial bones and Maxilla,32,Mammalia,Sylvilagus sp.,,,,None available,,,,,,,,,,-11.3,-1.3,,,Chaco Culture NHP,,3993865.5,239246.2,"""Mammal Skull"" (2014)",,,,,,,2.9,11.4,-20.7,,,-10.3,4
32A,Maxilla,32,Mammalia,Sylvilagus sp.,Maxilla,5,8.3,,,,,,,,,,,,,,,Chaco Culture NHP,,3993865.5,239246.2,"""Mammal Skull"" (2014)","Maxilla is present with cranial bones attached, and pieces of the right and left zygomatic arches",n/a,"Sub-adult, juvenile",1,"cracking is present, but not flaking"," unfused sutures present, indiciating a young age. Most teeth are present, except (P2) on both sides. (M3) on both sides is present but not fully errupted, could have been broken off as well.",2.8,2.9,-16,,,-13.7,-5.4
32B,Cranial Bones (refit),32,Mammalia,Sylvilagus sp.,,,,,,,CC32,Cranial bone,15.8,42.5,2.7,4.9,-17.6,,,,,Chaco Culture NHP,,3993865.5,239246.2,"""Mammal Skull"" (2014)","Most of frontal bone is present, pieces of zygomatic arch are present",n/a,"Sub-adult, juvenile",3,cracking and flaking is very present and abundant ,"Frontal bone is very weathered, but also unfused, could be indication of young age or too weathered.",2.8,5.3,-12.9,-7.2,4.2,,
33,Maxilla,33,Mammalia,Sylvilagus sp.,Maxilla,76,3.8,Molars,47,12.6,CC33,Maxillary bone,16.1,46.9,2.9,2.9,-17.5,-9.1,-1.6,-9.2,4.8,Chaco Culture NHP,,3996069.58,239024.22,"Elev.= 1925 m, Surface (2013) UNM","Maxilla and all teeth are present, piece of zygomatic arches are present ",n/a,"Sub-adult, juvenile",2,some cracking and flaking is present,"sutures are present and not fully fused, all teeth are present and appear erupted, possibly sub-adult",3,19.3,-16.6,,,,
34,"""Multiple""",34,Mammalia,Lepus sp.,,,,,,,,,,,,,,-5.7,-2,-6.3,0.6,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",,,,,,See Below on line 44 ,2.8,12.2,-12.6,-5.9,-2.7,-3.5,2.2
34A,Mandible  and Mandibular Condyle,34,Mammalia,Lepus sp.,,,,Molars,59,14.2,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",portion of incisor is present as well as the body and portion of the ramus near the mandibular fossa. Only portion missing are a few teeth (that have broken since extraction from Chaco) and the angle on the outer edge of the ramus. The mandibular condyle (with ascending ramus attached) refits to body.,right,"sub-adult, juvenile",2,"cracking is present and flaking is present, but flaking is not as abundant as the cracking- pieces have come apart during analysis and transportation.","when beginning analysis all of the teeth were present and intact, due to large crack with a piece of bone ""waiting"" to fall off, some teeth have fallen out but still accounted for. Due to the presence of the erupted teeth and the overall size of the specimen, I would say it is a sub-adult/female. ",2.8,10.1,-15.9,-7.9,-6.8,-9.9,0
34B,Mandibular Condyle,34,Mammalia,Cynomys sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ",Mandibular condyle and angle of mandible are present with section of the ascending ramus,left,sub-adult to adult,3,piece of mandible has many cracks and is flaking in multiple spots.,"Due to the ""crescent""condyle associated with Cynomys, and the concave attachment to the angle of the ramus I believe it belongs to Cynomys. Without teeth or much of the bone, and weathering, I cannot accurate give age, is smaller than comparative but not in any extreme way. ",,,,,,,
34C,Metatarsal,34,Mammalia,Lepus sp.,,,,,,,,,,,,,,,,,,Chaco Culture NHP,,3994834.2,239210.8,"Elev.= 1895 m, ""Rabbit"" (2014) ","the proximal epiphysis is present along with the shaft, but distal epiphysis is not fused or present",left,"sub-adult, juvenile",2,"Cracking is present along the shaft and distal epiphysis, small amount of flaking along the cracks.","Due to the lack of fusing on the distal end of the epiphysis and the lack of its presence, I believe this is a juvenile to sub-adult.",,,,,,,
