dataSetName,siteName,countryOcean,lat,lon,elevation,pub1_doi,pub2_doi,originalDataUrl,neotomaSiteId,neotomaDatasetId,archiveType,proxy,proxyDetail,proxyGeneral,calibration_method,calibration_seasonality,paleoDataNotes,variableName,units,datum,climateVariable,climateVariableDetail,seasonality,seasonGeneral,direction,minYear,maxYear,medianHoloceneResolution,agesPerKyr,wNAmUncertainty,inThisCompilation,QC Certification,QC comments,link to lipdverse
Andy.Szeicz.1995,Andy,North America>Canada>Northwest Territories,64.65,-128.08,1360,10.1016/0031-0182(95)00070-3,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444,206,10.21233/N35X18,LakeSediment,pollen,assemblage,pollen,MAT,,,precipitation,mm,anom,P,amount@surface,annual,annual,positive,0,13192,186,0.3333333333,368,TRUE,CR,"fails age control, gap >3000 years (largest gap is 4170 yrs); five well-spaced ages in Holocene",http://lipdverse.org/wNAm/0_16_2/Andy.Szeicz.1995.html
Andy.Szeicz.1995,Andy,North America>Canada>Northwest Territories,64.65,-128.08,1360,10.1016/0031-0182(95)00070-3,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444,206,10.21233/N35X18,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,anom,T,air@surface,warmest month,summer+,positive,0,9803,174,0.4080383556,2,TRUE,"TB, DSK","fails age control, gap >3000 years (largest gap is 4170 yrs); five well-spaced ages in Holocene",http://lipdverse.org/wNAm/0_16_2/Andy.Szeicz.1995.html
Andy.Szeicz.1995,Andy,North America>Canada>Northwest Territories,64.65,-128.08,1360,10.1016/0031-0182(95)00070-3,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444,206,10.21233/N35X18,LakeSediment,pollen,assemblage,pollen,MAT,,,temperatureComposite,degC,anom,T,air@surface,warmest + coldest month,annual,positive,0,9803,174,0.4080383556,2.1,TRUE,CR,"this timeseries was composited programmatically, with the assumption that all values are measured at equivalent levels",http://lipdverse.org/wNAm/0_16_2/Andy.Szeicz.1995.html
BaldLake.Munroe.2020,Bald Lake,North America>United States Of America>Utah,40.8672,-110.4923,3367,10.1002/jqs.3250,,wNAm,,,LakeSediment,Eu/Zr,bulk sediment,biophysical,,,,Eu/Zr-z,unitless,anom,DUST,amount@surface,annual,annual,positive,212,12736,108,0,,TRUE,CR,,http://lipdverse.org/wNAm/0_16_2/BaldLake.Munroe.2020.html
BanksIsland-12.Gajewski.2000,Banks Island -12,North America>Canada>Northwest Territories,72.37,-119.83,220,10.1139/b00-018,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,261,10.21233/N37880,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,positive,175,10183,302.5,0.2997601918,2,TRUE,"TB, DSK","fails age control, largest gap is 3920 yrs; retain to support high-Arctic coverage. CR added coldest month to wNAm to represent winter season",http://lipdverse.org/wNAm/0_16_2/BanksIsland-12.Gajewski.2000.html
BanksIsland-12.Gajewski.2000,Banks Island -12,North America>Canada>Northwest Territories,72.37,-119.83,220,10.1139/b00-018,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,261,10.21233/N37880,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,positive,175,10183,302.5,0.2997601918,3,TRUE,"TB, CR","fails age control, largest gap is 3920 yrs; retain to support high-Arctic coverage",http://lipdverse.org/wNAm/0_16_2/BanksIsland-12.Gajewski.2000.html
BanksIsland-15.Gajewski.2000,Banks Island -15,North America>Canada>Northwest Territories,73.53,-120.22,120,10.1139/b00-018,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,261,10.21233/N37880,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,positive,14,10183,127,0.3933523454,2,TRUE,"TB, DSK","one gap 4.1 ka, but more 14C ages than other two Banks Is chronologies",http://lipdverse.org/wNAm/0_16_2/BanksIsland-15.Gajewski.2000.html
BanksIsland-15.Gajewski.2000,Banks Island -15,North America>Canada>Northwest Territories,73.53,-120.22,120,10.1139/b00-018,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,261,10.21233/N37880,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,positive,14,10183,127,0.3933523454,3,TRUE,"TB, DSK","one gap 4.1 ka, but more 14C ages than other two Banks Is chronologies",http://lipdverse.org/wNAm/0_16_2/BanksIsland-15.Gajewski.2000.html
BanksIsland-15.Gajewski.2000,Banks Island -15,North America>Canada>Northwest Territories,73.53,-120.22,120,10.1139/b00-018,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,261,10.21233/N37880,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,annual,annual,positive,14,10183,127,0.3933523454,2.1,TRUE,"TB, DSK","one gap 4.1 ka, but more 14C ages than other two Banks Is chronologies",http://lipdverse.org/wNAm/0_16_2/BanksIsland-15.Gajewski.2000.html
BanksIsland-15.Gajewski.2000,Banks Island -15,North America>Canada>Northwest Territories,73.53,-120.22,120,10.1139/b00-018,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,261,10.21233/N37880,LakeSediment,pollen,assemblage,pollen,MAT,,,precipitation,mm,abs,P,amount@surface,annual,annual,positive,14,10183,127,0.3933523454,368,TRUE,"JM, CR","Pecipitation reconstruction generated with, and using methods described in Marsicek 2018. Reconstruction published as part of the wNAm database.",http://lipdverse.org/wNAm/0_16_2/BanksIsland-15.Gajewski.2000.html
BattleGround.Whitlock.1985,Battle Ground,North America>United States Of America>Washington,45.8,-122.4917,155,10.1130/0016-7606(1985)96<263:LQVNBG>2.0.CO;2,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,236,10.21233/N3002S,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,positive,-30,10542.1,236.3,0.3783543478,2,TRUE,"TB, SHA",Lat/lon updated to four decimals with Google Earth,http://lipdverse.org/wNAm/0_16_2/BattleGround.Whitlock.1985.html
BattleGround.Whitlock.1985,Battle Ground,North America>United States Of America>Washington,45.8,-122.4917,155,10.1130/0016-7606(1985)96<263:LQVNBG>2.0.CO;2,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,236,10.21233/N3002S,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,positive,-30,10542.1,236.3,0.3783543478,3,TRUE,"TB, SHA",Lat/lon updated to four decimals with Google Earth,http://lipdverse.org/wNAm/0_16_2/BattleGround.Whitlock.1985.html
BattleGround.Whitlock.1985,Battle Ground,North America>United States Of America>Washington,45.8,-122.4917,155,10.1130/0016-7606(1985)96<263:LQVNBG>2.0.CO;2,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,236,10.21233/N3002S,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,annual,annual,positive,-30,10542.1,236.3,0.3783543478,2.1,TRUE,"TB, SHA",Lat/lon updated to four decimals with Google Earth,http://lipdverse.org/wNAm/0_16_2/BattleGround.Whitlock.1985.html
BattleGround.Whitlock.1985,Battle Ground,North America>United States Of America>Washington,45.8,-122.4917,155,10.1130/0016-7606(1985)96<263:LQVNBG>2.0.CO;2,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,236,10.21233/N3002S,LakeSediment,pollen,assemblage,pollen,MAT,,,precipitation,mm,abs,P,amount@surface,annual,annual,positive,-30,10542.1,236.3,0.3783543478,368,TRUE,"JM, CR, SHA","Lat/lon updated to four decimals with Google Earth. Pecipitation reconstruction generated with, and using methods described in Marsicek 2018. Reconstruction published as part of the wNAm database.",http://lipdverse.org/wNAm/0_16_2/BattleGround.Whitlock.1985.html
BeaverLake.Schmieder.2011,Beaver Lake,North America>United States Of America>Nebraska,42.46,-100.67,905,10.1016/j.quascirev.2011.04.011,,www.ncdc.noaa.gov/paleo/study/23075,,,LakeSediment,diatom,assemblage,other microfossil,,,"lake_Z_score diatom inferred lake level,standard deviation unit",lakeLevel,standardized,anom,P-E,lakeLevel@surface,annual,annual,positive,0,6449.643,28.667,1.550473414,0.68,TRUE,CR,,http://lipdverse.org/wNAm/0_16_2/BeaverLake.Schmieder.2011.html
BeefPasture.Petersen.1985,Beef Pasture,North America>United States Of America>Colorado,37.47,-108.16,3060,"Petersen, K. L. (1985). Palynology in Montezuma County, Southwestern Colorado: the local history of pinyon pine (Pinus edulis). Late Quaternary Palynology of the American Southwest, ASSP Contribution Series, 16, 47-62.",10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,246,10.21233/N34T3P; 10.21233/N3JS4F,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,positive,0,6025.2,32.8,1.825665538,2,TRUE,"TB, DSK","fails age control, gap >3000 years (largest gap is 6245 yrs); excellent chronology over the upper 5 ka",http://lipdverse.org/wNAm/0_16_2/BeefPasture.Petersen.1985.html
BeefPasture.Petersen.1985,Beef Pasture,North America>United States Of America>Colorado,37.47,-108.16,3060,"Petersen, K. L. (1985). Palynology in Montezuma County, Southwestern Colorado: the local history of pinyon pine (Pinus edulis). Late Quaternary Palynology of the American Southwest, ASSP Contribution Series, 16, 47-62.",10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,246,10.21233/N34T3P; 10.21233/N3JS4F,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,positive,0,6025.2,32.8,1.825665538,3,TRUE,"TB, DSK","fails age control, gap >3000 years (largest gap is 6245 yrs); excellent chronology over the upper 5 ka",http://lipdverse.org/wNAm/0_16_2/BeefPasture.Petersen.1985.html
BeefPasture.Petersen.1985,Beef Pasture,North America>United States Of America>Colorado,37.47,-108.16,3060,"Petersen, K. L. (1985). Palynology in Montezuma County, Southwestern Colorado: the local history of pinyon pine (Pinus edulis). Late Quaternary Palynology of the American Southwest, ASSP Contribution Series, 16, 47-62.",10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,246,10.21233/N34T3P; 10.21233/N3JS4F,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,annual,annual,positive,0,6025.2,32.8,1.825665538,2.1,TRUE,"TB, DSK","fails age control, gap >3000 years (largest gap is 6245 yrs); excellent chronology over the upper 5 ka",http://lipdverse.org/wNAm/0_16_2/BeefPasture.Petersen.1985.html
BeefPasture.Petersen.1985,Beef Pasture,North America>United States Of America>Colorado,37.47,-108.16,3060,"Petersen, K. L. (1985). Palynology in Montezuma County, Southwestern Colorado: the local history of pinyon pine (Pinus edulis). Late Quaternary Palynology of the American Southwest, ASSP Contribution Series, 16, 47-62.",10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,246,10.21233/N34T3P; 10.21233/N3JS4F,LakeSediment,pollen,assemblage,pollen,MAT,,,precipitation,mm,abs,P,amount@surface,annual,annual,positive,0,6025.2,32.8,1.825665538,368,TRUE,"JM, CR","Suspicious anomalies in precip record. f=Fails age control, gap >3000 years (largest gap is 6245 yrs); excellent chronology over the upper 5 ka. Pecipitation reconstruction generated with, and using methods described in Marsicek 2018. Reconstruction published as part of the wNAm database.",http://lipdverse.org/wNAm/0_16_2/BeefPasture.Petersen.1985.html
BegbieLake.Brown.2019,Begbie Lake,North America>Canada>British Columbia,48.59,-123.68,188,10.1177/0959683619854523,,wNAm,,,LakeSediment,pollen,assemblage,pollen,DWHI-MAP,,Updated MAP reconstruction fro wNAm,precipitation,mm,abs,P,amount@surface,annual,annual,positive,-64,11569,202,0.8596234849,368,TRUE,"KJB, GS",,http://lipdverse.org/wNAm/0_16_2/BegbieLake.Brown.2019.html
BellsLake.Szeicz.1995,Bells Lake,North America>Canada>Northwest Territories,65.02,-127.48,580,10.1016/0031-0182(95)00070-3,10.1175/2008JCLI2342.1,10.21233/N35G6P,253,10.21233/N35G6P,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,anom,T,air@surface,warmest month,summer+,positive,0,13299,208,0.3333333333,2,TRUE,"TB, CR","fails age control, gap >3000 years (largest gap is 3140 yrs); temp reconstructions come from 10.1175/2008JCLI2342.1 (not currently listed). CR added warmest and coldest months to wNAm to represent warm and cold seasons.",http://lipdverse.org/wNAm/0_16_2/BellsLake.Szeicz.1995.html
BellsLake.Szeicz.1995,Bells Lake,North America>Canada>Northwest Territories,65.02,-127.48,580,10.1016/0031-0182(95)00070-3,10.1175/2008JCLI2342.1,10.21233/N35G6P,253,10.21233/N35G6P,LakeSediment,pollen,assemblage,pollen,MAT,,,precipitation,mm,anom,P,amount@surface,annual,annual,positive,0,13299,208,0.3333333333,368,TRUE,CR,"fails age control, gap >3000 years (largest gap is 3140 yrs); temp reconstructions come from 10.1175/2008JCLI2342.1 (not currently listed)",http://lipdverse.org/wNAm/0_16_2/BellsLake.Szeicz.1995.html
BellsLake.Szeicz.1995,Bells Lake,North America>Canada>Northwest Territories,65.02,-127.48,580,10.1016/0031-0182(95)00070-3,10.1175/2008JCLI2342.1,10.21233/N35G6P,253,10.21233/N35G6P,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,anom,T,air@surface,coldest month,winter+,positive,0,9702,203,0.4122861266,3,TRUE,"TB, CR","fails age control, gap >3000 years (largest gap is 3140 yrs); temp reconstructions come from 10.1175/2008JCLI2342.1 (not currently listed). CR added warmest and coldest months to wNAm to represent warm and cold seasons.",http://lipdverse.org/wNAm/0_16_2/BellsLake.Szeicz.1995.html
BellsLake.Szeicz.1995,Bells Lake,North America>Canada>Northwest Territories,65.02,-127.48,580,10.1016/0031-0182(95)00070-3,10.1175/2008JCLI2342.1,10.21233/N35G6P,253,10.21233/N35G6P,LakeSediment,pollen,assemblage,pollen,MAT,,,temperatureComposite,degC,anom,T,air@surface,warmest + coldest month,annual,positive,0,13299,208,0.3333333333,2.1,TRUE,"TB, CR","fails age control, but just slightly; temp reconstructions come from 10.1175/2008JCLI2342.1; this timeseries was composited programmatically, with the assumption that all values are measured at equivalent levels",http://lipdverse.org/wNAm/0_16_2/BellsLake.Szeicz.1995.html
Big.Cumming.2002,Big Lake,North America>Canada>British Columbia,51.668,-121.45,1030,10.1073/pnas.252603099,,www.ncdc.noaa.gov/paleo/study/23089,15213,,LakeSediment,diatom,assemblage,other microfossil,,,,lakeLevel,m,abs,P-E,lakeLevel@surface,annual,annual,positive,-41.58,5533,13.392,3.587714231,2.5,TRUE,JB,,http://lipdverse.org/wNAm/0_16_2/Big.Cumming.2002.html
Big.Cumming.2002,Big Lake,North America>Canada>British Columbia,51.668,-121.45,1030,10.1073/pnas.252603099,,www.ncdc.noaa.gov/paleo/study/23089,15213,,LakeSediment,diatom,assemblage,other microfossil,,,"Units in Log base 10, mg/liter. Mean_boot_salinity.",salinity,log mg/L,abs,P-E,lakeSalinity,annual,annual,negative,-41.58,5533,13.392,3.587714231,0.16,TRUE,JB,,http://lipdverse.org/wNAm/0_16_2/Big.Cumming.2002.html
BisonLake.Anderson.2011,Bison Lake,North America>United States Of America>Colorado,39.76,-107.35,3255,10.1130/G31575.1,,www.ncdc.noaa.gov/paleo/study/10749,,,LakeSediment,d18O,bulk sediment,isotope,,,Amount effect. Winter precipitaiton amount or balance of winter versus summer,d18O,permil,abs,P,amount@surface,winter,winterOnly,negative,-58,10289.95,27.019,,0.89,TRUE,CR,"Missing age model. Winter drought, but also winter/summer precipitation balance.",http://lipdverse.org/wNAm/0_16_2/BisonLake.Anderson.2011.html
BlueLake.Routson.2019,Blue Lake,North America>United States Of America>Colorado,37.24,-106.63,3500,10.1029/2019GL083255,,www.ncdc.noaa.gov/paleo/study/27078,,,LakeSediment,"Ti,Ca,K",XRF bulk sediment,biophysical,,,Ti/Ca and K/Ca element mixing model,dustFlux,g/cm2/yr,abs,DUST,@surface,annual,annual,positive,-60.11515,4474.341131,1.7845705,3.0874705,0.01,TRUE,SHA,no clear climate interpretation,http://lipdverse.org/wNAm/0_16_2/BlueLake.Routson.2019.html
BoomerangLake.Brown.2006,Boomerang Lake,North America>Canada>British Columbia,49.18,-124.16,361,10.1016/j.quascirev.2006.02.020,,wNAm,,,LakeSediment,pollen,assemblage,pollen,DWHI-MAP,,MAP_updated,precipitation,mm,abs,P,amount@surface,annual,annual,positive,-45,11768,299,0.5079150089,368,TRUE,KJB,"3091-year chronology gap, but includes 6 well spaced Holocene ages",http://lipdverse.org/wNAm/0_16_2/BoomerangLake.Brown.2006.html
Boone.White.1986,Boone,North America>Canada>Alberta,55.58,-119.43,872,10.1139/b86-302,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,296,10.21233/N36D82,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,warmest month,summer+,positive,-28,10528,86.5,0.5683971201,2,TRUE,TB,,http://lipdverse.org/wNAm/0_16_2/Boone.White.1986.html
Boone.White.1986,Boone,North America>Canada>Alberta,55.58,-119.43,872,10.1139/b86-302,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,296,10.21233/N36D82,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,coldest month,winter+,positive,-28,10528,86.5,0.5683971201,3,TRUE,TB,,http://lipdverse.org/wNAm/0_16_2/Boone.White.1986.html
Boone.White.1986,Boone,North America>Canada>Alberta,55.58,-119.43,872,10.1139/b86-302,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,296,10.21233/N36D82,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,abs,T,air@surface,annual,annual,positive,-28,10528,86.5,0.5683971201,2.1,TRUE,TB,,http://lipdverse.org/wNAm/0_16_2/Boone.White.1986.html
Boone.White.1986,Boone,North America>Canada>Alberta,55.58,-119.43,872,10.1139/b86-302,10.1038/nature25464,www.ncdc.noaa.gov/paleo/study/27330,296,10.21233/N36D82,LakeSediment,pollen,assemblage,pollen,MAT,,,precipitation,mm,abs,P,amount@surface,annual,annual,positive,-28,10528,86.5,0.5683971201,368,TRUE,JM,"Pecipitation reconstruction generated with, and using methods described in Marsicek 2018. Reconstruction published as part of the wNAm database.",http://lipdverse.org/wNAm/0_16_2/Boone.White.1986.html
CandelabraLake.Cwynar.1995,Candelabra Lake,North America>Canada>Yukon Territory,61.68,-130.65,1040,10.7202/033027ar,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444,329,10.21233/N32H63,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,anom,T,air@surface,warmest month,summer+,positive,352,12567,191,0.9443681319,2,TRUE,TB,,http://lipdverse.org/wNAm/0_16_2/CandelabraLake.Cwynar.1995.html
CandelabraLake.Cwynar.1995,Candelabra Lake,North America>Canada>Yukon Territory,61.68,-130.65,1040,10.7202/033027ar,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444,329,10.21233/N32H63,LakeSediment,pollen,assemblage,pollen,MAT,,,precipitation,mm,abs,P,amount@surface,annual,annual,positive,352,12567,191,0.9443681319,368,TRUE,CR,,http://lipdverse.org/wNAm/0_16_2/CandelabraLake.Cwynar.1995.html
CandelabraLake.Cwynar.1995,Candelabra Lake,North America>Canada>Yukon Territory,61.68,-130.65,1040,10.7202/033027ar,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444,329,10.21233/N32H63,LakeSediment,pollen,assemblage,pollen,MAT,,,temperature,degC,anom,T,air@surface,winter,winter+,positive,352,12567,191,0.9443681319,3,TRUE,DSK,,http://lipdverse.org/wNAm/0_16_2/CandelabraLake.Cwynar.1995.html
CandelabraLake.Cwynar.1995,Candelabra Lake,North America>Canada>Yukon Territory,61.68,-130.65,1040,10.7202/033027ar,10.5194/cp-10-1605-2014,www.ncdc.noaa.gov/paleo/study/15444,329,10.21233/N32H63,LakeSediment,pollen,assemblage,pollen,MAT,,,temperatureComposite,degC,anom,T,air@surface,warmest month + winter,annual,positive,352,12567,191,0.9443681319,2.1,TRUE,TB,"this timeseries was composited programmatically, with the assumption that all values are measured at equivalent levels",http://lipdverse.org/wNAm/0_16_2/CandelabraLake.Cwynar.1995.html
CarletonLake.Upiter.2014,Carleton Lake,North America>Canada>Northwest Territories,64.2572,-110.1008,420,10.1007/s10933-014-9775-5,,www.ncdc.noaa.gov/paleo/study/16296,,,LakeSediment,chironomid,assemblage,chironomid,WAPLS,7,1. reconstruction based on Porinchu et al (2009) transfer function: this model had stronger analogues with the samples than the Barley et al (2006) model; 2. reconstruction based on Barley et al (2006) transfer function: weaker analogues in the downcore and training set chironomid communities. The reconstructed temperatures based on the Porinchu et al (2009) training set are likely more accurate.,temperatureComposite,degC,anom,T,air@surface,summer,summerOnly,positive,-53.9,5964.2,100.4,0.9969924062,1.4,TRUE,"YLA, MTO","timeseries was composited programmatically, with the assumption that all values are measured at equivalent levels",http://lipdverse.org/wNAm/0_16_2/CarletonLake.Upiter.2014.html
